BS001 17:48:07.68 -29:07:55.6 RotType=Horizon; RotAng=90
BS002 17:50:27.94 -29:12:46.1 RotType=Horizon; RotAng=90
BS003 17:48:41.88 -28:06:39.6 RotType=Horizon; RotAng=90
BS007 17:58:30.65 -26:09:49.3 RotType=Horizon; RotAng=90
BS010 18:00:17.47 -25:14:14.6 RotType=Horizon; RotAng=90
BS012 18:01:06.10 -24:21:34.6 RotType=Horizon; RotAng=90
BS028 18:09:19.99 -18:36:11.2 RotType=Horizon; RotAng=90
BS029 18:09:05.50 -18:16:22.8 RotType=Horizon; RotAng=90
BS032 18:14:00.82 -18:25:47.3 RotType=Horizon; RotAng=90
BS036 18:14:00.24 -17:52:31.8 RotType=Horizon; RotAng=90
BS037 18:14:48.17 -17:44:09.6 RotType=Horizon; RotAng=90
BS039 18:08:46.42 -16:25:59.5 RotType=Horizon; RotAng=90
BS043 18:16:25.25 -17:05:20.8 RotType=Horizon; RotAng=90
BS045 18:17:01.30 -16:34:03.4 RotType=Horizon; RotAng=90
BS050 18:18:57.89 -16:25:05.9 RotType=Horizon; RotAng=90
BS051 18:20:22.70 -16:08:34.1 RotType=Horizon; RotAng=90
BS054 18:05:58.82 -14:11:53.2 RotType=Horizon; RotAng=90
BS056 18:17:17.18 -15:29:25.4 RotType=Horizon; RotAng=90
BS061 18:18:58.70 -13:59:28.3 RotType=Horizon; RotAng=90
BS063 18:19:05.57 -13:54:50.4 RotType=Horizon; RotAng=90
BS065 18:19:20.04 -13:54:21.6 RotType=Horizon; RotAng=90
BS066 18:15:23.98 -13:19:35.8 RotType=Horizon; RotAng=90
BS067 18:18:23.64 -13:36:28.1 RotType=Horizon; RotAng=90
BS083 18:26:49.27 -11:36:40.0 RotType=Horizon; RotAng=90
BS089 18:32:23.42 -10:32:12.8 RotType=Horizon; RotAng=90
BS100 18:31:46.42 -08:32:28.7 RotType=Horizon; RotAng=90
BS101 18:31:25.46 -08:28:49.1 RotType=Horizon; RotAng=90
BS129 18:40:33.89 -04:53:56.0 RotType=Horizon; RotAng=90
BS150 18:49:25.06 -02:21:09.7 RotType=Horizon; RotAng=90
BS157 18:49:17.66 -01:17:27.6 RotType=Horizon; RotAng=90
BS163 18:48:39.58 -00:46:08.0 RotType=Horizon; RotAng=90
BS165 18:51:33.02 -01:02:29.8 RotType=Horizon; RotAng=90
BS173 18:53:28.82 -00:12:08.6 RotType=Horizon; RotAng=90
BS195 18:58:13.10 +02:40:54.5 RotType=Horizon; RotAng=90
BS197 18:54:59.06 +03:18:54.7 RotType=Horizon; RotAng=90
BS249 19:15:07.80 +12:42:06.5 RotType=Horizon; RotAng=90
BS252 19:20:20.45 +13:22:07.0 RotType=Horizon; RotAng=90
BS255 19:19:00.82 +13:42:59.0 RotType=Horizon; RotAng=90
BS258 19:20:39.14 +14:12:19.8 RotType=Horizon; RotAng=90
BS263 19:25:34.68 +14:30:00.0 RotType=Horizon; RotAng=90
BS265 19:22:04.30 +14:58:33.2 RotType=Horizon; RotAng=90
BS268 19:21:55.90 +15:13:55.9 RotType=Horizon; RotAng=90
BS271 19:23:50.23 +15:28:39.0 RotType=Horizon; RotAng=90
BS272 19:13:48.41 +17:24:15.5 RotType=Horizon; RotAng=90
BS282 19:29:44.64 +18:11:44.2 RotType=Horizon; RotAng=90
BS284 19:29:05.81 +19:08:36.6 RotType=Horizon; RotAng=90
BS285 19:28:26.76 +19:23:58.2 RotType=Horizon; RotAng=90
