BS002 17:50:27.94 -29:12:46.1 RotType=Horizon; RotAng=90
BS003 17:48:41.88 -28:06:39.6 RotType=Horizon; RotAng=90
BS007 17:58:30.65 -26:09:49.3 RotType=Horizon; RotAng=90
BS012 18:01:06.10 -24:21:34.6 RotType=Horizon; RotAng=90
BS014 18:00:40.58 -23:36:50.8 RotType=Horizon; RotAng=90
BS017 18:03:33.46 -22:34:38.3 RotType=Horizon; RotAng=90
BS018 18:04:15.48 -21:42:05.4 RotType=Horizon; RotAng=90
BS028 18:09:19.99 -18:36:11.2 RotType=Horizon; RotAng=90
BS029 18:09:05.50 -18:16:22.8 RotType=Horizon; RotAng=90
BS032 18:14:00.82 -18:25:47.3 RotType=Horizon; RotAng=90
BS036 18:14:00.24 -17:52:31.8 RotType=Horizon; RotAng=90
BS037 18:14:48.17 -17:44:09.6 RotType=Horizon; RotAng=90
BS045 18:17:01.30 -16:34:03.4 RotType=Horizon; RotAng=90
BS050 18:18:57.89 -16:25:05.9 RotType=Horizon; RotAng=90
BS051 18:20:22.70 -16:08:34.1 RotType=Horizon; RotAng=90
BS069 18:24:05.04 -14:07:36.5 RotType=Horizon; RotAng=90
BS083 18:26:49.27 -11:36:40.0 RotType=Horizon; RotAng=90
BS089 18:32:23.42 -10:32:12.8 RotType=Horizon; RotAng=90
BS100 18:31:46.42 -08:32:28.7 RotType=Horizon; RotAng=90
BS101 18:31:25.46 -08:28:49.1 RotType=Horizon; RotAng=90
BS157 18:49:17.66 -01:17:27.6 RotType=Horizon; RotAng=90
BS163 18:48:39.58 -00:46:08.0 RotType=Horizon; RotAng=90
BS165 18:51:33.02 -01:02:29.8 RotType=Horizon; RotAng=90
BS173 18:53:28.82 -00:12:08.6 RotType=Horizon; RotAng=90
BS195 18:58:13.10 +02:40:54.5 RotType=Horizon; RotAng=90
BS197 18:54:59.06 +03:18:54.7 RotType=Horizon; RotAng=90
BS203 18:58:58.10 +04:19:52.3 RotType=Horizon; RotAng=90
BS209 18:57:43.37 +05:03:32.4 RotType=Horizon; RotAng=90
BS624 16:49:22.80 -44:58:48.0 RotType=Horizon; RotAng=90
BS635 16:55:29.57 -43:09:03.6 RotType=Horizon; RotAng=90
BS636 16:54:57.14 -42:55:59.5 RotType=Horizon; RotAng=90
BS641 16:58:27.41 -42:43:08.8 RotType=Horizon; RotAng=90
BS648 17:04:51.84 -42:06:54.0 RotType=Horizon; RotAng=90
BS653 17:08:46.85 -40:34:27.5 RotType=Horizon; RotAng=90
BS655 17:08:02.40 -40:16:24.2 RotType=Horizon; RotAng=90
BS656 17:12:07.51 -40:46:23.2 RotType=Horizon; RotAng=90
BS657 17:08:38.04 -40:17:01.0 RotType=Horizon; RotAng=90
BS670 17:17:12.10 -38:03:21.6 RotType=Horizon; RotAng=90
BS673 17:20:38.23 -38:01:48.7 RotType=Horizon; RotAng=90
BS681 17:17:00.50 -36:13:36.1 RotType=Horizon; RotAng=90
BS687 17:28:59.78 -36:06:54.7 RotType=Horizon; RotAng=90
BS691 17:22:50.02 -34:03:22.3 RotType=Horizon; RotAng=90
BS700 17:33:47.88 -31:16:27.1 RotType=Horizon; RotAng=90
BS701 17:36:04.46 -30:49:55.2 RotType=Horizon; RotAng=90
BS712 17:54:15.65 -26:17:23.6 RotType=Horizon; RotAng=90
BS713 18:03:07.99 -24:23:55.0 RotType=Horizon; RotAng=90
BS717 18:03:00.26 -22:13:07.0 RotType=Horizon; RotAng=90
BS718 18:05:29.62 -22:30:06.1 RotType=Horizon; RotAng=90
BS719 18:07:23.62 -21:53:06.7 RotType=Horizon; RotAng=90
BS720 18:08:28.08 -21:39:10.1 RotType=Horizon; RotAng=90
BS723 18:12:25.22 -18:32:44.5 RotType=Horizon; RotAng=90
BS727 18:18:36.36 -13:22:08.0 RotType=Horizon; RotAng=90
BS728 18:23:23.57 -12:57:05.4 RotType=Horizon; RotAng=90
BS743 18:44:27.43 -04:45:46.1 RotType=Horizon; RotAng=90
BS746 18:48:40.90 -02:36:29.2 RotType=Horizon; RotAng=90
BS748 18:47:36.60 -02:03:31.3 RotType=Horizon; RotAng=90
BS750 18:51:18.12 -01:59:29.0 RotType=Horizon; RotAng=90
BS865 16:41:08.74 -44:57:53.6 RotType=Horizon; RotAng=90
BS869 16:53:06.12 -44:29:44.5 RotType=Horizon; RotAng=90
BS873 17:01:31.78 -41:37:55.9 RotType=Horizon; RotAng=90
BS876 17:08:15.07 -40:31:46.2 RotType=Horizon; RotAng=90
BS880 17:19:10.87 -39:01:40.4 RotType=Horizon; RotAng=90
