# BS001 17:48:07.68 -29:07:55.6  | G=10.73
BS001 17:48:07.68 -29:07:55.6 RotType=Horizon; RotAng=90
# BS002 17:50:27.94 -29:12:46.1  | G=15.75
BS002 17:50:27.94 -29:12:46.1 RotType=Horizon; RotAng=90
# BS003 17:48:41.88 -28:06:39.6  | G=16.29
BS003 17:48:41.88 -28:06:39.6 RotType=Horizon; RotAng=90
# BS007 17:58:30.65 -26:09:49.3  | G=12.74
BS007 17:58:30.65 -26:09:49.3 RotType=Horizon; RotAng=90
# BS010 18:00:17.47 -25:14:14.6  | G=10.62
BS010 18:00:17.47 -25:14:14.6 RotType=Horizon; RotAng=90
# BS012 18:01:06.10 -24:21:34.6  | G=13.52
BS012 18:01:06.10 -24:21:34.6 RotType=Horizon; RotAng=90
# BS013 16:37:09.55 -10:34:01.2  | G=2.56
BS013 16:37:09.55 -10:34:01.2 RotType=Horizon; RotAng=90
# BS014 18:00:40.58 -23:36:50.8  | G=16.75
BS014 18:00:40.58 -23:36:50.8 RotType=Horizon; RotAng=90
# BS016 18:00:55.22 -22:57:37.1  | G=11.68
# BS017 18:03:33.46 -22:34:38.3  | G=13.32
# BS018 18:04:15.48 -21:42:05.4  | G=13.60
# BS019 18:05:11.18 -21:04:43.3  | G=11.97
# BS026 18:11:59.40 -19:36:55.4  | G=11.70
# BS027 18:12:13.03 -19:35:24.0  | G=10.75
# BS028 18:09:19.99 -18:36:11.2  | G=13.17
# BS029 18:09:05.50 -18:16:22.8  | G=16.31
# BS032 18:14:00.82 -18:25:47.3  | G=13.76
# BS036 18:14:00.24 -17:52:31.8  | G=15.81
# BS037 18:14:48.17 -17:44:09.6  | G=14.43
# BS039 18:08:46.42 -16:25:59.5  | G=11.49
# BS043 18:16:25.25 -17:05:20.8  | G=11.19
# BS045 18:17:01.30 -16:34:03.4  | G=14.29
# BS050 18:18:57.89 -16:25:05.9  | G=13.67
# BS051 18:20:22.70 -16:08:34.1  | G=12.61
# BS054 18:05:58.82 -14:11:53.2  | G=7.72
# BS056 18:17:17.18 -15:29:25.4  | G=11.71
# BS061 18:18:58.70 -13:59:28.3  | G=8.12
# BS063 18:19:05.57 -13:54:50.4  | G=9.35
# BS064 18:25:38.90 -14:45:05.8  | G=10.02
# BS065 18:19:20.04 -13:54:21.6  | G=10.58
# BS066 18:15:23.98 -13:19:35.8  | G=10.82
# BS067 18:18:23.64 -13:36:28.1  | G=11.52
# BS069 18:24:05.04 -14:07:36.5  | G=12.32
# BS083 18:26:49.27 -11:36:40.0  | G=14.34
# BS089 18:32:23.42 -10:32:12.8  | G=14.21
# BS100 18:31:46.42 -08:32:28.7  | G=13.38
# BS101 18:31:25.46 -08:28:49.1  | G=12.06
# BS129 18:40:33.89 -04:53:56.0  | G=10.07
# BS150 18:49:25.06 -02:21:09.7  | G=9.63
# BS157 18:49:17.66 -01:17:27.6  | G=17.09
# BS163 18:48:39.58 -00:46:08.0  | G=13.14
# BS165 18:51:33.02 -01:02:29.8  | G=14.80
# BS173 18:53:28.82 -00:12:08.6  | G=16.06
# BS195 18:58:13.10 +02:40:54.5  | G=15.74
# BS197 18:54:59.06 +03:18:54.7  | G=14.87
# BS200 19:02:08.86 +03:30:47.2  | G=12.70
# BS203 18:58:58.10 +04:19:52.3  | G=14.86
# BS209 18:57:43.37 +05:03:32.4  | G=12.26
# BS212 19:05:10.66 +05:09:48.6  | G=12.12
# BS240 19:03:40.70 +13:03:11.9  | G=10.57
# BS249 19:15:07.80 +12:42:06.5  | G=14.19
# BS252 19:20:20.45 +13:22:07.0  | G=14.49
# BS255 19:19:00.82 +13:42:59.0  | G=10.98
# BS258 19:20:39.14 +14:12:19.8  | G=14.99
# BS263 19:25:34.68 +14:30:00.0  | G=14.59
# BS265 19:22:04.30 +14:58:33.2  | G=13.25
# BS268 19:21:55.90 +15:13:55.9  | G=14.69
# BS271 19:23:50.23 +15:28:39.0  | G=14.20
# BS272 19:13:48.41 +17:24:15.5  | G=11.71
# BS282 19:29:44.64 +18:11:44.2  | G=12.97
# BS284 19:29:05.81 +19:08:36.6  | G=14.31
# BS285 19:28:26.76 +19:23:58.2  | G=14.96
# BS287 19:29:38.06 +19:45:58.3  | G=16.82
# BS288 19:32:44.33 +19:58:40.8  | G=10.87
# BS289 19:32:00.41 +20:22:03.7  | G=12.32
# BS291 19:36:11.54 +20:21:11.9  | G=15.51
# BS295 19:37:22.37 +22:23:49.6  | G=15.62
# BS296 19:40:24.70 +22:30:35.6  | G=15.10
# BS298 19:51:08.18 +22:49:54.5  | G=8.98
# BS300 19:44:20.06 +23:52:45.1  | G=10.52
# BS302 19:45:47.52 +24:06:00.0  | G=10.75
# BS303 19:46:06.17 +24:11:13.9  | G=12.69
# BS305 19:46:22.68 +24:37:48.0  | G=10.11
# BS306 19:47:21.38 +24:33:43.9  | G=10.01
# BS309 19:44:00.74 +25:48:47.2  | G=13.22
# BS313 19:57:17.81 +26:10:49.8  | G=16.18
# BS314 19:50:24.41 +27:27:55.8  | G=10.90 obs w/KOSMOS 20220531
BS314 19:50:24.41 +27:27:55.8 RotType=Horizon; RotAng=90
# BS315 19:46:39.31 +28:13:23.2  | G=14.31
BS315 19:46:39.31 +28:13:23.2 RotType=Horizon; RotAng=90
# BS318 20:22:58.78 +34:14:21.5  | G=16.34
BS318 20:22:58.78 +34:14:21.5 RotType=Horizon; RotAng=90
# BS319 20:05:38.11 +36:39:38.2  | G=12.17
# BS320 20:09:26.06 +36:29:19.7  | G=8.48
# BS321 20:14:33.29 +36:29:49.9  | G=13.20
# BS322 20:14:51.10 +36:35:58.2  | G=12.58
# BS324 20:13:28.92 +38:14:31.6  | G=10.92
# BS325 20:23:35.71 +36:55:44.0  | G=8.39
# BS326 20:32:56.26 +36:12:00.4  | G=10.64
# BS328 20:35:34.44 +36:34:25.3  | G=11.90
# BS329 20:29:22.06 +37:55:44.4  | G=14.08
# BS330 20:22:54.02 +39:12:28.8  | G=8.19
# BS331 20:27:17.57 +39:44:32.6  | G=9.90
# BS332 20:26:24.89 +40:01:41.2  | G=11.67
# BS333 20:26:46.78 +40:05:56.8  | G=12.99
# BS335 20:28:15.38 +40:44:04.6  | G=10.61
# BS336 20:36:32.52 +39:36:47.2  | G=14.34
# BS338 20:34:55.10 +40:34:44.4  | G=13.79
# BS339 20:36:04.51 +40:56:13.2  | G=11.64
# BS340 20:28:30.24 +42:00:35.3  | G=7.62
# BS341 20:34:28.94 +41:56:16.8  | G=12.04
# BS342 20:34:34.54 +41:58:29.6  | G=14.51
# BS343 20:30:34.97 +44:18:54.7  | G=6.71
# BS344 20:33:36.07 +43:59:07.4  | G=9.13
# BS345 20:52:53.21 +42:36:27.7  | G=8.25
# BS346 20:51:50.21 +43:19:29.6  | G=12.53
# BS349 21:21:39.07 +50:02:01.0  | G=11.00
# BS350 21:22:55.70 +50:24:25.2  | G=12.40
# BS351 22:12:30.07 +55:32:07.4  | G=11.27
# BS352 22:15:57.48 +58:09:36.4  | G=13.49
# BS353 22:16:32.93 +59:23:30.8  | G=11.59
# BS354 22:27:41.42 +57:41:04.6  | G=11.82
# BS356 22:39:17.71 +59:01:00.5  | G=9.84
# BS357 22:39:22.54 +59:00:25.9  | G=9.47
# BS358 22:34:06.50 +60:58:50.2  | G=10.23
# BS359 22:46:40.22 +58:17:43.8  | G=9.07
# BS360 22:51:33.77 +59:00:30.6  | G=7.00
# BS361 22:51:39.72 +61:08:51.0  | G=10.09
# BS362 22:55:45.34 +60:24:40.3  | G=12.64
# BS364 00:21:53.88 +61:45:02.5  | G=9.36
# BS365 00:30:28.32 +65:16:19.6  | G=8.14
# BS366 00:25:51.24 +71:48:25.6  | G=6.87
# BS367 02:17:53.21 +61:11:12.8  | G=10.46
# BS368 02:29:30.46 +61:29:44.2  | G=10.83
# BS369 02:54:10.68 +60:39:03.6  | G=8.38
# BS371 04:05:53.04 +51:06:58.0  | G=11.28
# BS372 04:11:10.73 +50:42:29.5  | G=10.91
# BS373 03:32:40.01 +35:27:42.1  | G=5.87
# BS374 06:05:52.44 +48:14:57.5  | G=6.72
# BS375 05:16:18.14 +34:18:45.0  | G=5.94
# BS376 06:41:59.23 +06:20:43.4  | G=6.31
# BS377 06:34:23.57 +02:32:03.1  | G=7.83
# BS378 05:31:55.85 -07:18:05.8  | G=4.55
# BS381 07:09:20.26 -10:20:47.8  | G=6.17
# BS383 07:53:01.01 -27:06:57.6  | G=9.54
# BS384 08:16:32.09 -35:38:52.8  | G=10.34
# BS385 08:55:27.67 -41:35:22.2  | G=9.52
# BS386 09:02:06.86 -40:33:16.9  | G=6.74
# BS387 08:50:13.42 -43:09:48.2  | G=10.42
# BS388 08:50:53.23 -43:45:05.4  | G=7.34
# BS389 08:52:04.13 -44:00:34.9  | G=8.85
# BS390 08:56:28.46 -45:21:31.7  | G=10.01
# BS391 08:59:14.90 -48:49:49.1  | G=9.19
# BS392 09:04:44.78 -48:21:59.0  | G=10.81
# BS393 08:58:10.39 -49:23:47.4  | G=9.96
# BS394 09:15:18.24 -51:23:12.1  | G=9.78
# BS395 09:16:37.25 -51:56:22.6  | G=9.85
# BS396 10:02:51.29 -56:54:01.4  | G=15.33
# BS397 10:12:20.42 -56:20:33.7  | G=10.47
# BS404 10:30:20.86 -59:49:21.4  | G=9.71
# BS405 10:38:19.13 -58:53:46.7  | G=9.14
# BS406 10:40:12.41 -59:48:10.1  | G=8.11
# BS407 10:44:43.87 -59:21:25.2  | G=8.30
# BS408 10:44:00.91 -59:35:45.6  | G=10.50
# BS409 10:43:17.93 -60:08:03.1  | G=8.69
# BS410 10:44:11.06 -60:03:21.6  | G=8.91
# BS411 10:49:24.98 -59:49:43.7  | G=9.90
# BS412 10:47:46.22 -60:24:36.0  | G=15.71
# BS413 10:47:38.86 -60:37:04.1  | G=7.81
# BS414 10:48:46.51 -60:35:39.8  | G=9.00
# BS422 12:19:24.00 -62:56:12.1  | G=12.14
# BS425 12:26:34.42 -62:52:19.6  | G=13.06
# BS426 12:27:58.97 -62:46:59.9  | G=12.07
# BS428 12:35:21.34 -62:59:15.0  | G=11.91
# BS430 12:40:29.38 -62:02:54.6  | G=14.14
# BS431 12:47:24.67 -59:41:40.9  | G=6.97
# BS434 12:51:53.86 -62:17:25.8  | G=11.94
# BS440 13:08:19.49 -62:49:43.0  | G=11.85
# BS445 13:17:51.22 -62:49:22.1  | G=15.38
# BS448 13:23:41.45 -62:52:13.1  | G=12.69
# BS449 13:23:32.23 -62:10:30.0  | G=13.87
# BS450 13:24:21.91 -62:53:46.0  | G=14.59
# BS453 13:25:12.38 -61:57:36.7  | G=14.08
# BS457 13:30:57.17 -61:34:57.4  | G=13.29
